,text,tag,raw,!stopwords,stemmed,preprocessed
141,"Окей...  Я поняла, что мой друг будет учиться на Молодежной, а я на Войковской В таком случае возможно мне стоит забрать документы и пойти в вшэ со скидкой 70% Нужен совет. Стоит ли?  Тут прикладная математика и информатика, а там прикладная математика  Я занимаюсь программированием и думаю продолжать им заниматься во время учёбы Там в учебном плане программирования не очень много.  Хочу спросить. Как на 8 институте преподают программировние?  На каком языке?  И что учат на ""искусственном интеллекте""?",обучение,окей    я поняла  что мой друг будет учиться на молодежной  а я на войковской в таком случае возможно мне стоит забрать документы и пойти в вшэ со скидкой     нужен совет  стоит ли  тут прикладная математика и информатика  а там прикладная математика я занимаюсь программированием и думаю продолжать им заниматься во время учёбы там в учебном плане программирования не очень много  хочу спросить  как на   институте преподают программировние  на каком языке  и что учат на  искусственном интеллекте  ,окей поняла друг учиться молодежной войковской таком случае возможно стоит забрать документы пойти вшэ скидкой нужен совет стоит прикладная математика информатика прикладная математика занимаюсь программированием думаю продолжать заниматься время учёбы учебном плане программирования не очень хочу спросить институте преподают программировние каком языке учат искусственном интеллекте,ок поня друг уч молодежн войковск так случа возможн сто забра документ пойт вшэ скидк нуж совет сто прикладн математик информатик прикладн математик занима программирован дума продолжа занима врем учеб учебн план программирован не очен хоч спрос институт препода программировн как язык учат искусствен интеллект,окей понимать друг учиться молодежный войковский случай возможно стоить забирать документ пойти вшэ скидка нужный совет стоять прикладной математика информатика прикладной математика заниматься программирование думать продолжать заниматься время учеба учебный план программирование не очень спрашивать институт преподавать программировний язык учить искусственный интеллект
142,А во сколько будет самое последнее обновление?,конкурсные списки,а во сколько будет самое последнее обновление ,сколько самое последнее обновление,скольк сам последн обновлен,сколько самый последний обновление
143,Когда приказ выйдет?,даты приема,когда приказ выйдет ,приказ выйдет,приказ выйдет,приказ выходить
144,"Доброе утро, не подскажете где найти форму заявления на отчисление?",документы,доброе утро  не подскажете где найти форму заявления на отчисление ,доброе утро не подскажете найти форму заявления отчисление,добр утр не подскажет найт форм заявлен отчислен,утро не находить форма заявление отчисление
145,А что за извещения и для чего они нужны?,документы,а что за извещения и для чего они нужны ,извещения нужны,извещен нужн,извещение нужный
146,Здравствуйте. Нужны ли какие-нибудь справки для поступления в МАИ?,документы,здравствуйте  нужны ли какие нибудь справки для поступления в маи ,нужны какие справки поступления,нужн как справк поступлен,нужный справка поступление
147,"Если меня интересует преимущественно Программироаание, разработка ПО, является ли для меня подходящим направление ""Математика и Информатика""?",описание направлений,если меня интересует преимущественно программироаание  разработка по  является ли для меня подходящим направление  математика и информатика  ,интересует преимущественно программироаание разработка является подходящим направление математика информатика,интерес преимуществен программироаан разработк явля подходя направлен математик информатик,интересовать преимущественно программироаание разработка являться подходящий направление математика информатика
148,"Здравствуйте, скажите, пожалуйста, я правильно понял, что на 1 курсе программа у направлений ПМ и ПМИ одинаковая, а начиная со 2 курса уже можно будет сделать выбор и перевестись на более интересное направление?",описание направлений,здравствуйте  скажите  пожалуйста  я правильно понял  что на   курсе программа у направлений пм и пми одинаковая  а начиная со   курса уже можно будет сделать выбор и перевестись на более интересное направление ,скажите правильно понял курсе программа направлений пм пми одинаковая начиная курса сделать выбор перевестись интересное направление,скаж правильн поня курс программ направлен пм пми одинаков начин курс сдела выбор перевест интересн направлен,правильно понимать курс программа направление пм пми одинаковый начинать курс сделать выбор переводиться интересный направление
149,"Добрый день) Яляется ли обучение на направлениях 01.03.02 и 01.03.04 только платным? Когда выбирала направления на сайте вашего университета, задала фильтр ""Бюджет"", и в списке отфильтрованных направлений были и эти два.",описание направлений,добрый день  яляется ли обучение на направлениях          и          только платным  когда выбирала направления на сайте вашего университета  задала фильтр  бюджет   и в списке отфильтрованных направлений были и эти два ,яляется обучение направлениях платным выбирала направления сайте вашего университета задала фильтр бюджет списке отфильтрованных направлений,яля обучен направлен платн выбира направлен сайт ваш университет зада фильтр бюджет списк отфильтрова направлен,яляться обучение направление платный выбирать направление сайт ваш университет задавать фильтр бюджет список отфильтровывать направление
150,"Подскажите пожалуйста, сколько баллов добавляют за предпрофессиональный экзамен?",индивидуальные достижения,подскажите пожалуйста  сколько баллов добавляют за предпрофессиональный экзамен ,подскажите сколько баллов добавляют предпрофессиональный экзамен,подскаж скольк балл добавля предпрофессиональн экзам,сколько балл добавлять предпрофессиональный экзамен
151,"Подскажите пожалуйста, в маи шестидневка?",обучение,подскажите пожалуйста  в маи шестидневка ,подскажите шестидневка,подскаж шестидневк,шестидневка
152,"Добрый вечер.Подскажите, пожалуйста, кроме пофамильного списка абитуриентов есть ли возможность взглянуть на список с баллами, чтобы оценить свои шансы на поступление?",конкурсные списки,добрый вечер подскажите  пожалуйста  кроме пофамильного списка абитуриентов есть ли возможность взглянуть на список с баллами  чтобы оценить свои шансы на поступление ,подскажите кроме пофамильного списка абитуриентов возможность взглянуть список баллами оценить свои шансы поступление,подскаж кром пофамильн списк абитуриент возможн взглянут список балл оцен сво шанс поступлен,кроме пофамильный список абитуриент возможность взглядывать список балл оценивать свой шанс поступление
153,"Здравствуйте! Никто не может подсказать, почему отклонили заявление о поступлении?",технические проблемы,здравствуйте  никто не может подсказать  почему отклонили заявление о поступлении ,никто не подсказать отклонили заявление поступлении,никт не подсказа отклон заявлен поступлен,никто не отклонять заявление поступление
154,"Доброй ночи, хотелось бы узнать как предоставляется общежитие? много ли мест?",общежитие,доброй ночи  хотелось бы узнать как предоставляется общежитие  много ли мест ,доброй ночи хотелось узнать предоставляется общежитие мест,добр ноч хотел узна предоставля общежит мест,ночь хотеться предоставляться общежитие место
155,Добрый день! Возможно ли на сегодняшний день ознакомиться с ранжированными конкурсными списками?,конкурсные списки,добрый день  возможно ли на сегодняшний день ознакомиться с ранжированными конкурсными списками ,возможно сегодняшний ознакомиться ранжированными конкурсными списками,возможн сегодняшн ознаком ранжирова конкурсн списк,возможно сегодняшний ознакомляться ранжировать конкурсный список
156,"Здравствуйте! Собираюсь поступать по направлению ПМИ. Не могли бы Вы, пожалуйста, объяснить, что из себя представляют группы приёма? Сколько их можно выбрать? Возможно ли потом изменить их в своём заявлении? Заранее благодарен Вам за ответ.",распределение по кафедрам,здравствуйте  собираюсь поступать по направлению пми  не могли бы вы  пожалуйста  объяснить  что из себя представляют группы приёма  сколько их можно выбрать  возможно ли потом изменить их в своём заявлении  заранее благодарен вам за ответ ,собираюсь поступать направлению пми не могли объяснить представляют группы приёма сколько выбрать возможно изменить своём заявлении заранее благодарен ответ,собира поступа направлен пми не могл объясн представля групп прием скольк выбра возможн измен сво заявлен заран благодар ответ,собираться поступать направление пми не объяснять представлять группа прием сколько выбирать возможно изменять свой заявление заранее благодарный ответ
157,а как обстоят дела с общагами?,общежитие,а как обстоят дела с общагами ,обстоят дела общагами,обсто дел общаг,обстоять дело общага
158,и всех ли заселяют туда или нужен минимальный балл для гарантированного заселения?,общежитие,и всех ли заселяют туда или нужен минимальный балл для гарантированного заселения ,заселяют туда нужен минимальный балл гарантированного заселения,заселя туд нуж минимальн балл гарантирова заселен,заселять туда нужный минимальный балл гарантированный заселение
159,Когда начнут выкладывать списки  поступающих с баллами,конкурсные списки,когда начнут выкладывать списки поступающих с баллами,начнут выкладывать списки поступающих баллами,начнут выкладыва списк поступа балл,начинать выкладывать список поступать балл
160,"Извините пожалуйста, кто-нибудь знает, сколько примерно ждать подтверждения олимпиады, которая дает БВИ? А то я вот доки подал, их приняли, согласие на зачисление уже тоже подал, но в списках я отображен как поступающий по ЕГЭ.",индивидуальные достижения,извините пожалуйста  кто нибудь знает  сколько примерно ждать подтверждения олимпиады  которая дает бви  а то я вот доки подал  их приняли  согласие на зачисление уже тоже подал  но в списках я отображен как поступающий по егэ ,извините знает сколько примерно ждать подтверждения олимпиады которая дает бви доки подал приняли согласие зачисление подал списках отображен поступающий егэ,извин знает скольк примерн ждат подтвержден олимпиад котор дает бви док пода приня соглас зачислен пода списк отображ поступа егэ,извинять знать сколько примерно ждать подтверждение олимпиада который давать бви дока принимать согласие зачисление список отображать поступать егэ
161,"Привет, а что насчёт дополнительных занятий и секций? Есть что-то подобное, чем заняться кроме учёбы?",обучение,привет  а что насчёт дополнительных занятий и секций  есть что то подобное  чем заняться кроме учёбы ,привет насчёт дополнительных занятий секций подобное заняться кроме учёбы,привет насчет дополнительн занят секц подобн заня кром учеб,привет насчет дополнительный занятие секция подобный заниматься кроме учеба
162,"Привет!  Хотел спросить на счëт стипендии, если такая информация сейчас есть. Чего можно ждать? Правда ли, что за посещение секций стипендию увеличивают?",обучение,привет  хотел спросить на счëт стипендии  если такая информация сейчас есть  чего можно ждать  правда ли  что за посещение секций стипендию увеличивают ,привет хотел спросить счëт стипендии такая информация ждать правда посещение секций стипендию увеличивают,привет хотел спрос счëт стипенд так информац ждат правд посещен секц стипенд увеличива,привет спрашивать счет стипендия информация ждать правда посещение секция стипендия увеличивать
163,"А как вообще работает подача согласия на зачисление? И как в этом году вообще понимать проходишь ты на бюджет, на платку или вообще не проходишь",порядок приема,а как вообще работает подача согласия на зачисление  и как в этом году вообще понимать проходишь ты на бюджет  на платку или вообще не проходишь,вообще работает подача согласия зачисление году вообще понимать проходишь бюджет платку вообще не проходишь,вообщ работа подач соглас зачислен год вообщ понима проход бюджет платк вообщ не проход,вообще работать подача согласие зачисление год вообще понимать проходить бюджет платок вообще не проходить
164,"Ну вот в августе публикуется списки с баллами, но там же не написано, что ты точно проходишь на бюджет и все зависит от ситуации, сколько отзовут заявлений, и по сути ты подаешь в слепую",порядок приема,ну вот в августе публикуется списки с баллами  но там же не написано  что ты точно проходишь на бюджет и все зависит от ситуации  сколько отзовут заявлений  и по сути ты подаешь в слепую,августе публикуется списки баллами не написано точно проходишь бюджет зависит ситуации сколько отзовут заявлений сути подаешь слепую,август публик списк балл не написа точн проход бюджет завис ситуац скольк отзовут заявлен сут пода слеп,август публиковаться список балл не написать точно проходить бюджет зависеть ситуация сколько отзывать заявление суть слепой
165,"Добрый день. Могу ли я сейчас подать заявление на платку,  если уже подал на бюджет, но сомневаюсь в своих баллах?",квота,добрый день  могу ли я сейчас подать заявление на платку  если уже подал на бюджет  но сомневаюсь в своих баллах ,могу подать заявление платку подал бюджет сомневаюсь своих баллах,мог пода заявлен платк пода бюджет сомнева сво балл,заявление платок бюджет сомневаться свой балл
166,"Здравствуйте. При подаче заявления, под «Я участвовал в олимпиадах школьников» олимпиады нужно указывать относящиеся непосредственно к тем предметам, которые требуется для этого факультета или любые олимпиады? И как правильнее заполнить эту строку?",индивидуальные достижения,здравствуйте  при подаче заявления  под  я участвовал в олимпиадах школьников  олимпиады нужно указывать относящиеся непосредственно к тем предметам  которые требуется для этого факультета или любые олимпиады  и как правильнее заполнить эту строку ,подаче заявления участвовал олимпиадах школьников олимпиады нужно указывать относящиеся непосредственно предметам которые требуется факультета любые олимпиады правильнее заполнить строку,подач заявлен участвова олимпиад школьник олимпиад нужн указыва относя непосредствен предмет котор треб факультет люб олимпиад правильн заполн строк,подача заявление участвовать олимпиада школьник олимпиада нужно указывать относиться непосредственно предмет который требоваться факультет любой олимпиада правильно заполнять строка
167,"Здравствуйте! Подскажите пожалуйста! При подаче документов оставим согласие на одно из направлений.Если по данному направлению не проходим по конкурсу на бюджетное место,как поступить, чтобы принять участие в конкурсе на других выбранных направлениях?",порядок приема,здравствуйте  подскажите пожалуйста  при подаче документов оставим согласие на одно из направлений если по данному направлению не проходим по конкурсу на бюджетное место как поступить  чтобы принять участие в конкурсе на других выбранных направлениях ,подскажите подаче документов оставим согласие одно направлений данному направлению не проходим конкурсу бюджетное место поступить принять участие конкурсе других выбранных направлениях,подскаж подач документ остав соглас одн направлен дан направлен не проход конкурс бюджетн мест поступ приня участ конкурс друг выбра направлен,подача документ оставлять согласие направление данный направление не проходить конкурс бюджетный место поступать принимать участие конкурс выбирать направление
168,"объединили два направления и получается в этом году 250 бюджетных мест, а как дальше будет происходить распределение?",распределение по кафедрам,объединили два направления и получается в этом году     бюджетных мест  а как дальше будет происходить распределение ,объединили направления получается году бюджетных мест дальше происходить распределение,объедин направлен получа год бюджетн мест дальш происход распределен,объединять направление получаться год бюджетный место далеко происходить распределение
169,"Кстати, а как понять, сколько мне докинут за ИД?",индивидуальные достижения,кстати  а как понять  сколько мне докинут за ид ,кстати понять сколько докинут ид,кстат поня скольк докинут ид,кстати понимать сколько докинуть иды
170,А че как фиит?,описание направлений,а че как фиит ,че фиит,че фи,че фиит
171,Хуже чем 806 или просто другое?,описание направлений,хуже чем     или просто другое ,хуже просто другое,хуж прост друг,плохо просто
172,чтобы уйти в data science какой факультет ближе?,описание направлений,чтобы уйти в data science какой факультет ближе ,уйти data science факультет ближе,уйт data science факультет ближ,уходить data science факультет близко
173,Насколько сильна дискра и есть ли сборная по олимпиадному программированию?,обучение,насколько сильна дискра и есть ли сборная по олимпиадному программированию ,насколько сильна дискра сборная олимпиадному программированию,наскольк сильн дискр сборн олимпиадн программирован,насколько сильный дискра сборная олимпиадный программирование
174,а как отозвать заявление? <:),технические проблемы,а как отозвать заявление     ,отозвать заявление,отозва заявлен,отзывать заявление
175,Привет. Где можно посмотреть проходные баллы прошлых лет?(разных направлений),описание направлений,привет  где можно посмотреть проходные баллы прошлых лет  разных направлений ,привет посмотреть проходные баллы прошлых лет разных направлений,привет посмотрет проходн балл прошл лет разн направлен,привет посмотреть проходной балл прошлый год разный направление
176,Тогда вопрос. Сколько раз можно отзывать и подавать согласие между вузами и внутри одного вуза?,порядок приема,тогда вопрос  сколько раз можно отзывать и подавать согласие между вузами и внутри одного вуза ,сколько отзывать согласие вузами внутри одного вуза,скольк отзыва соглас вуз внутр одн вуз,сколько отзывать согласие вуз внутри вуз
177,"извините еще раз, нажимаю на кнопку ""отозвать"" и меня перебрасывает на редактирование заявления, может, со мной что-то не так?",технические проблемы,извините еще раз  нажимаю на кнопку  отозвать  и меня перебрасывает на редактирование заявления  может  со мной что то не так ,извините нажимаю кнопку отозвать перебрасывает редактирование заявления мной не,извин нажима кнопк отозва перебрасыва редактирован заявлен мно не,извинять нажимать кнопка отзывать перебрасывать редактирование заявление не
178,"А сейчас нельзя узнать как-то, какое у меня место по баллам?",конкурсные списки,а сейчас нельзя узнать как то  какое у меня место по баллам ,узнать какое место баллам,узна как мест балл,место балл
179,"Моя заявка была принята, но я хотел убедиться в том, что один момент заполнил правильно, нажал изменить. Все оказалось правильно, поэтому просто нажимал на «далее», в итоге статут заявки снова был «ожидает». Дело в том, что до этого ее проверили довольно быстро и я уже был добавлен в конкурсные списки, а теперь что-то все еще висит «ожидает». Мне оставить все как есть и просто ждать?",технические проблемы,моя заявка была принята  но я хотел убедиться в том  что один момент заполнил правильно  нажал изменить  все оказалось правильно  поэтому просто нажимал на  далее   в итоге статут заявки снова был  ожидает   дело в том  что до этого ее проверили довольно быстро и я уже был добавлен в конкурсные списки  а теперь что то все еще висит  ожидает   мне оставить все как есть и просто ждать ,заявка принята хотел убедиться момент заполнил правильно нажал изменить оказалось правильно поэтому просто нажимал далее итоге статут заявки снова ожидает дело проверили довольно быстро добавлен конкурсные списки висит ожидает оставить просто ждать,заявк принят хотел убед момент заполн правильн нажа измен оказа правильн поэт прост нажима дал итог статут заявк снов ожида дел провер довольн быстр добавл конкурсн списк вис ожида остав прост ждат,заявка принимать убеждаться момент заполнять правильно нажимать изменять оказываться правильно поэтому просто нажимать далее итог статут заявка снова ожидать дело проверять довольно быстро добавлять конкурсный список висеть ожидать оставлять просто ждать
180,У меня не отображаются направления в заявке. Что мне делать?,технические проблемы,у меня не отображаются направления в заявке  что мне делать ,не отображаются направления заявке делать,не отобража направлен заявк дела,не отображаться направление заявка делать
181,"Привет, не знаете когда появится конкурсные списки?(Которые по баллам отсортированы, а не в алфавитном порядке)",конкурсные списки,привет  не знаете когда появится конкурсные списки  которые по баллам отсортированы  а не в алфавитном порядке ,привет не знаете появится конкурсные списки которые баллам отсортированы не алфавитном порядке,привет не знает появ конкурсн списк котор балл отсортирова не алфавитн порядк,привет не знать появляться конкурсный список который балл отсортировывать не алфавитный порядок
182,"Подскажите, если я поступлю, но не получу общежитие по конкурсу, мне могут его предоставить спустя какое-то время (кто-то отчислиться или тп)?",общежитие,подскажите  если я поступлю  но не получу общежитие по конкурсу  мне могут его предоставить спустя какое то время  кто то отчислиться или тп  ,подскажите поступлю не получу общежитие конкурсу могут предоставить спустя какое время отчислиться тп,подскаж поступл не получ общежит конкурс могут предостав спуст как врем отчисл тп,поступать не получать общежитие конкурс предоставлять спустя время отчисляться тп
183,"Ладно, спасибо, а что по поводу обучения по обмену/за рубежом?",обучение,ладно  спасибо  а что по поводу обучения по обмену за рубежом ,ладно спасибо поводу обучения обмену рубежом,ладн спасиб повод обучен обмен рубеж,ладно спасибо повод обучение обмен рубеж
184,Можно ли посмотреть конкурсные списки МАИ сейчас?,конкурсные списки,можно ли посмотреть конкурсные списки маи сейчас ,посмотреть конкурсные списки,посмотрет конкурсн списк,посмотреть конкурсный список
185,"Всем привет, какой конкурс на общагу был в прошлом году?",общежитие,всем привет  какой конкурс на общагу был в прошлом году ,всем привет конкурс общагу прошлом году,всем привет конкурс общаг прошл год,привет конкурс общага прошлый год
186,"Кстати, подскажите пожалуйста. Если в личном кабинете уже написано, что я участвую в клнкурсе на зачисление, это значит,что вся информация, которую я подал(включая баллы ЕГЭ) проверена и подтверждена? А то еле сдерживаюсь от того,чтобы лишний раз не нажать редактировать заявление и проверить данные :)",технические проблемы,кстати  подскажите пожалуйста  если в личном кабинете уже написано  что я участвую в клнкурсе на зачисление  это значит что вся информация  которую я подал включая баллы егэ  проверена и подтверждена  а то еле сдерживаюсь от того чтобы лишний раз не нажать редактировать заявление и проверить данные   ,кстати подскажите личном кабинете написано участвую клнкурсе зачисление значит вся информация которую подал включая баллы егэ проверена подтверждена еле сдерживаюсь лишний не нажать редактировать заявление проверить данные,кстат подскаж личн кабинет написа участв клнкурс зачислен знач вся информац котор пода включ балл егэ провер подтвержд ел сдержива лишн не нажа редактирова заявлен провер дан,кстати личный кабинет написать участвовать клнкурс зачисление значит весь информация который включая балл егэ проверять подтверждать еле сдерживаться лишний не нажимать редактировать заявление проверять данные
187,Когда появятся рейтинговые списки?,конкурсные списки,когда появятся рейтинговые списки ,появятся рейтинговые списки,появ рейтингов списк,появляться рейтинговый список
188,Здравствуйте. Мне не добавили доп баллы за аттестат с отличием и за призерство на олимпиаде. Куда можно обратиться?,индивидуальные достижения,здравствуйте  мне не добавили доп баллы за аттестат с отличием и за призерство на олимпиаде  куда можно обратиться ,не добавили доп баллы аттестат отличием призерство олимпиаде обратиться,не добав доп балл аттестат отлич призерств олимпиад обрат,не добавлять допы балл аттестат отличие призерство олимпиада обращаться
189,"А добавят ли доп баллы за призерство на региональном этапе по экономике (всерос), если я поступаю на программную инженерию?",индивидуальные достижения,а добавят ли доп баллы за призерство на региональном этапе по экономике  всерос   если я поступаю на программную инженерию ,добавят доп баллы призерство региональном этапе экономике всерос поступаю программную инженерию,добав доп балл призерств региональн этап экономик всерос поступа программн инженер,добавлять допы балл призерство региональный этап экономика всерос поступать программный инженерия
190,Сколько в МАИ социальная стипендия по рублям?,обучение,сколько в маи социальная стипендия по рублям ,сколько социальная стипендия рублям,скольк социальн стипенд рубл,сколько социальный стипендия рубль
191,А что насчет военной кафедры,обучение,а что насчет военной кафедры,насчет военной кафедры,насчет воен кафедр,насчет военный кафедра
