text,tag
То куда меня зачислят ? На прикладную математику или на прикладную математику и информатику ?,распределение по кафедрам
"Здравствуйте, подскажите пожалуйста, когда будут опубликованы списки  о поступлении?",конкурсные списки
"Здравствуйте, а где можно посмотреть предварительные конкурсные списки?",конкурсные списки
"А когда появятся? Чтоб посмотреть баллы, есть ли преим право и подал ли согласие или нет",конкурсные списки
"Здравствуйте. Подскажите пожалуйста подать заявление можно на 5 направлений или можно больше, если это разные институты, например 8 и 3?",порядок приема
А можно найти где то проходные списки в общагу по всем факультетам в маи?,общежитие
"а какие есть варианты по жилью, если с общагой пролетаешь?",общежитие
"Как проверить, все ли документы и инд. достижения приняты и нет ошибок? В л/к написано, что заявление принято и больше никакой информации.",технические проблемы
"Что делать, если в момент публикации выяснится, что меня вообще нет в списке или не все баллы учтены?.. В других ВУЗах информации больше.",технические проблемы
"Подскажите, пожалуйста, можно ли переложить БВИ из одного ВУЗа в другой с 29 го по 4.08?",даты приема
А что вообще нужно будет для согласия?,порядок приема
По согласиям на зачисление? Где их подавать? В личном кабинете не видела,технические проблемы
"Григорий повторите пожалуйста  по часам информатику и математику по направлениям, что-то мы задумались...",описание направлений
"Подскажите ещё пожалуйста, чтобы изменить заявление, его нужно отозвать или его можно отредактировать?",технические проблемы
"Подскажите, плиз, а как посмотреть направления, на которые подала. Чет в личном кабинете предлагается только редактировать заявление или отозвать",технические проблемы
"Добрый день. В этом году заметил, что на Программную инженерию намного больше заявлений, чем на какие-либо другие направления, связанные с программированием И баллы прошлых лет на него выше, чем на другие. Казалось, что проги и инфы на нём должно быть больше, чем на других направлениях В итоге пми выигрывает почти на 300 часов Скажите, пожалуйста, разница между инженерией и пми, на программной инженерии более конкретная цель обучения программированию (создание приложений, игры, работа с данными) или я ошибаюсь?",описание направлений
"Тогда можете подсказать, пожалуйста, в общих чертах различия Учебные планы оценить достаточно сложно На какое направление идти, если хочешь получить как можно больше программирования и математики",описание направлений
"Я правильно понимаю, что неважно какие профили выбирать, так как только после первого курса идёт распределение?",распределение по кафедрам
А есть где нибудь списки с баллами?,конкурсные списки
А в чем отличие фиита от пми?,описание направлений
"А вот  прикладная матеша это уже другое, да? Там больше математики, чем проги?",описание направлений
А получается как потом будут раскидывать людей? По приоритетам?,распределение по кафедрам
а что кстати со стажировками? где есть возможность стажироваться и с какого курса?,обучение
"Несколько раз видел следующий аргумент:""В МАИ баллы ниже, потому что мест больше"". Исходя из этого, интересует следующий вопрос: Каков процент отчисления после (первого года / первой сессии)?",обучение
"Смотрите, а как вообще узнать, прохожу я на общагу или нет? Будет какая-то инфа в личном кабинете?",общежитие
"А вообще, я же правильно понимаю, что абитуры с московской области и москвы на общагу не претендуют?",общежитие
"А можете объяснить, что именно дает преимущественное право?  p.s. я понял, что преимущество) Допустим есть я и какой-то чел, у которого на балл больше. Есть ли толк от этого преим.пр. в этом случае?",порядок приема
"Ну в плане, возможен ли перевод на другую кафедру?",обучение
"Здравствуйте, можете рассказать про каждый институт и какие направления в них входят? А точнее меня интересует институты связанные с факультетами программной инженерией, итпм, фиит, ивт",описание направлений
А что в типе ИД указывать? Там ничего под Талант не попадает,индивидуальные достижения
"Когда я заполнял заявление, отправил в ИД свой диплом олимпиады из МАИ. Получается, его нужно будет заменить на тот, что дадут в таланте?",индивидуальные достижения
А сколько раз можно подавать согласие к вам? напомните пожалуйста,порядок приема
А какие направления больший уклон делают на программирование?,описание направлений
Когда списки на сайт маи завезут,конкурсные списки
"Здравствуйте, я правильно понял, что на Таланте уже поздно подавать сертификат финалиста ""Траектории взлета""?",индивидуальные достижения
А когда списки на другие специальности появятся??,конкурсные списки
"Можете, пожалуйста, сказать почему 01.03.00 нет никого в списках «особая квота» и этой графы нет",технические проблемы
"Подскажите  , как будут рейтинговые списки очищаться от тех ребят, которые уйдут в другие вузы?",конкурсные списки
А почему моего снилса нет в списках?,конкурсные списки
Ответьте пожалуйста на вопрос) Что не так с моим снилсом то? Его дальше учитывать будут? Он нужен?,технические проблемы
"А можете подсказать, как работают бонусные баллы от гто и все такое? Они уже добавляются, если два человека сравниваются при равных баллах по ЕГЭ?",индивидуальные достижения
А ид вообще что ли не нужны?),индивидуальные достижения
"А я правильно понимаю, что если остаются свободные места после целевиков и особой квоты, эти места распределяются между обычными бюджетниками?",порядок приема
"Подскажите, пожалуйста, СНИЛС есть (был выслан), но указан УКП(?). Можно как то поправить?",технические проблемы
"Если не учтено ИД, сюда можно писать данные и что не учтено?",индивидуальные достижения
А вообще планируется убрать когда то физику с 806 кафедры? Тогда бы топ вщ был,обучение
Здравствуйте! Где я могу найти номер личного дела или УКП для мониторинга ранжированных списков? В личном кабинете что-то не вижу.,конкурсные списки
"И буду ли я вообще сейчас в этих списках, если ещё не все ВИ сдал?",конкурсные списки
А призерство в предпрофессиональном экзамене даёт что-то в ИД?,индивидуальные достижения
а что выбрать в типе ИД?,индивидуальные достижения
А сколько мест занимают олимпиадники и те кто по квоте и тд,порядок приема
Много проги?какие языки?,обучение
"Извините, а тут уже говорили, когда баллы за ИД выставят?",индивидуальные достижения
"Если не засчитали дополнительные достижения, что делать? Писать в поддержку?",индивидуальные достижения
"Я тут почитал чат выше и понял, что в прикладной информатике очень мало программирования(...может ли кто посоветовать, куда тогда лучше подавать для изучения it и программирования: ИВТ или ПрогИнж? (Уже выбрал ФИИТ, ИТПМ и ИСиТ)",описание направлений
"Добрый день, есть ли ссылка на проходные баллы первой волны прошлого года?",описание направлений
Всем привет! Есть несколько вопросов. Ни у кого не осталась запись пятничного стрима? Была ли там какая-то доп инфа по сравнению с видео на Ютуб про 8 институт? Не появились ли ещё конкурсные списки?,конкурсные списки
На сколько сложно будет перевестисть с пм или пми на фиит или наоборот?,обучение
"А как у меня посчитаются ИД, кстати, если есть конкурс предпрофессиональных умений (он включен в перечень министерства просвещения, +5 должно быть) и Талант 20.35 (не знаю, во что он включен, в перечне его нет, но сказали, что вносить как мероприятие из перечня и на сайте Таланта сказано, что это 5 баллов ид)? 5 + 5, или 5, и все?",индивидуальные достижения
"А можете пожалуйста рассказать, как работает согласие на зачисление? Его можно подавать только в один вуз и на одно направление или как",порядок приема
"А есть какое-то ограничение на то, сколько раз отзывать? Видела тут в чатике, что 5 раз можно, это только для МАИ инфа?",порядок приема
"Добрый вечер, хочу узнать о гто. Если у меня золотой знак V ступени и мне 18 лет, то зачтут ли это индивидуальное достижение?",индивидуальные достижения
"Вопрос админам - после 06. 08 те, кто поступил (в приказах) в другие вузы по БВИ, будут оставаться в общей конкурсной таблице как и остальные ""без согласия"", или их исключат?",даты приема
"Ребят, привет. Кто-нибудь шарит за ИД? Если например у меня 2 разных диплома, но они подходят под один и тот же пункт в перечне ИДшек вуза, они оба будут добавлять мне балл или только один?",индивидуальные достижения
"Здравствуйте. В рейтинговом списке у меня не стоит галочка напротив «Наличие преимущ. права», хотя в заявлении я это указывал и подкреплял соответствующим документом",технические проблемы
"А не известно, когда ИД примерно будут отображаться?",индивидуальные достижения
"Я нашел строку прям с моими баллами,но снилс как-то странно написан,не похоже вообще на мой",конкурсные списки
"Подскажите пожалуйста, а списки людей, подавших заявления на зачисление с баллами ЕГЭ будут доступны только с 2 августа или где-нибудь можно сейчас их посмотреть?",конкурсные списки
Привет! А есть инфа по экзамену в магистратуру на 01 04 04? Особенно по экзамену для тех кто на военные сборы едет,порядок приема
"Скажите, пожалуйста, сколько дней обрабатывается заявление?",технические проблемы
Добрый день. Где можно посмотреть учебный план 806 кафедры? На сайте есть только для 805.,описание направлений
"Добрый вечер, возник вопрос касательно перевода на бюджет, я правильно понимаю, что необходимо наличие свободных мест (в связи с чем вопрос, когда они обычно появляются и сколько?) и хорошая успеваемость?",обучение
А почему в рейтинговых списках с ИД нет столбика с местом? Или я просто слеп?,конкурсные списки
"А почему при выборе направлений, я не могу выбрать, например, 2 на бюджет, 3 на платку?",технические проблемы
"А если не учли ид в списках, куда обращаться?",индивидуальные достижения
"А вот при заселении в общежитие нужен документ о снятии с воинского учета. Мне в моём военкомате сказали, что для сниматься вроде как не надо и достаточно лишь прийти в новый военкомат с приписным. Можете объяснить как правильно?",общежитие
"В МАИ легко получить последипломный отпуск после окончания бакалавриата? А то в отзывах пишут, что диплом не выдают без повестки в армию",обучение
требуется ли прививка для заселение в общежитие?,общежитие
"Здравствуйте, когда будет рейтинг поступающих на платной основе?",конкурсные списки
"Всем привет) а не подскажите, что за номера написаны в списках, как по ним себя найти?",конкурсные списки
что будет если в последний день сайт ляжет и мое согласие не смогут обработать?,технические проблемы
"Можете подсказать, дают ли баллы за Московскую медаль ‘’ за особые успехи в обучении ‘’",индивидуальные достижения
"Такой вопрос. Написано, что всего 250 мест, но из них 25 по целевой квоте и 25 по особой. Тогда на общий конкурс должно оставаться 200, но их 243. Если считается как-то по-другому, то где тогда ещё 7 мест",порядок приема
"Подскажите, институт №8 это факультет или кафедра?",описание направлений
"Ребята, извините, если уже был ответ, но не найду точную инфу. По поводу распределение на 806 кафедру после 1го курса понятно. А сколько студентов всего могут пройти, именно на 806?",распределение по кафедрам
"Я конечно понимаю, что вопрос может быть немного не для этого чата, но много ли в 8 институте девочек?",обучение
"Правда, а в чем принципиальные различия ФИИТ и ПМИ что их так обособили",описание направлений
"Добрый вечер, у меня проблема с подачей заявления(выбрал 4 направления, нажимаю на 5, но вылезает, что нельзя больше 5).Что делать?",технические проблемы
Как в Маи дела с общежитиями обстоят?,общежитие
а как часто обновляется таблица с баллами поступающих?,конкурсные списки
А нет инфы куда будут селить 8 и 3 институт в этом году?,общежитие
А что за профили при подаче заявления? Профиль информатика это же кафедра 806?,распределение по кафедрам
"Здравствуйте) Я хочу задать сразу несколько интересующих меня вопросов:) Подскажите пожалуйста, необходима ли справка 086-у? Когда ее нужно предоставить? Ее нужно  получать непосредственно в Москве в поликлинике при вузе или можно в своем родном городе (для иногородних)? Я читала, что ее нужно предоставить на физре, но что делать, если я состою на учёте у аллерголога, должна быть в спец группе, а справка 086-у не предусматривает поход к аллергологу/пульмонологу? Где брать подтверждение моему состоянию в этом случае?)  Я не прохожу на общежитие. Вуз сможет предоставить мне временную прописку в этом случае? К какой поликлинике я буду относится?",документы
"Добрый день. Скажите пожалуйста, как узнать, что мои ИД зачтены?",индивидуальные достижения
"Здравствуйте, а сколько баллов дают за победителя предпрофильного экзамена?",индивидуальные достижения
А получается мне гто не засчитали... Что надо сделать?,индивидуальные достижения
А за какой год гто?,индивидуальные достижения
сколько бюджетных мест по общему конкурсу получается?,общежитие
"Здравствуйте. Вы не могли бы подсказать, какие я выбрала направления? Снача выбирала наугад, а сейчас не помню. С нынешним набором я могу идти на 806 кафедру? БД - 085352. ",технические проблемы
В чем принципиальное отличие ПМИ от ФИИТа?,описание направлений
"Немножко вклинюсь в ваше обсуждение мест. Скажите пожалуйста, а чем занимается 804 кафедра?",описание направлений
"Спасибо. Но я думал, что на анализе данных специализируется 805ая?(разве нет)",описание направлений
"Добрый день, расскажите, пож-та,  каким образом проходит физкультура; сын любит плавать, разряда нет-есть ли секция по плаванию",обучение
"Дайте, пожалуйста, ссылку на описание направлений, связанных с IT, прикладной математикой и информатикой текстом, а не видеозаписью",описание направлений
"Также, где можно найти проходные былы на бюджет и платное прошлого года?",описание направлений
А где дополнительно посмотреть программы/предметы первого года обучения по направлениям?,описание направлений
Здравствуйте! Есть ли очно-заочная форма обучения на направлении 02.03.02? И будет ли отсрочка от армии на очно-заочном обучение?,описание направлений
"Добрый день, скажите, пож-та, какой размер стипендии в 1 семестре получат  поступающие по БВИ?",обучение
Здравствуйте. Подскажите как устроиться на работу в Маи студенту. Есть такая возможность?,обучение
И могу ли я подать документы на 2 меганаправления сразу?,порядок приема
"И хотел уточнить:  Я могу лично придти в МАИ для подачи документов, а в остальные 4 вуза подать их через госуслуги? И если могу, то буду ли я видеть информацию о МАИ на госуслугах?",порядок приема
С какой категорией годности к военной службе принимают в военной центр? Или только категорию А?,обучение
"Здравствуйте, хотел узнать, когда будет точно известно поступил ли я на факультет или нет? То есть, когда уже нужно будет подписывать приказ о зачислении?",порядок приема
"Подскажите ,пожалуйста, телефон приёмной комиссии",контакты
а где можно найти учебный план?,описание направлений
"Добрый вечер! Мы так до конца и не поняли,  в какой момент будет распределение на направление внутри конкурса? Подали на 01.03.02  по БВИ сегодня лично, но нас записали сразу на 2 направления 01.02.03 и 01.02.04 .  Все таки распределение будет после зачисления? Или после первого курса?",описание направлений
А какие лица могу т сдавать внутренние эзамены?,порядок приема
"Добрый вечер! Подскажите, пожалуйста, как далеко от учебного корпуса расположены общежития, куда заселяют ребят, поступивших на меганаправление «Математика и информатика»? (Если можно, укажите номера и адреса этих общежитий).",общежитие
"Подскажите ,заполняем личный кабинет  запрашивает средний балл аттестата, что это?",порядок приема
Добрый день!  Мы подали все документы и оригиналы вчера лично. У нас появится личный кабинет? И как к нему можно доступ получить?,технические проблемы
"И могу ли я прийти в МАИ, чтобы лично подать документы, а в другие 4 вуза подать их через госуслуги?",порядок приема
"Добрый день! Подскажите, пожалуйста, почему при подаче заявления через Госуслуги не отображается направление Компьютерные науки и прикладная математика (бюджет)?",госуслуги
"А можно вопрос, как будет происходить конкурс по кафедрам? Если я допустим хочу именно на 806, именно на ту программу, будет возможность именно туда поступить?",распределение по кафедрам
"Здравствуйте! Сайт МАИ не работает два дня. Когда будет решена проблема? Очень нужна информация по направлениям, чтобы сделать правильный выбор.",технические проблемы
Подскажите пожалуйста где найти информацию по общежитию,общежитие
"Здравствуйте! Подавал через госуслуги, заявления на 4 направления приняли, а на одно отклонили. Как такое может быть? Документы одни и те же",госуслуги
"В интернете нашел информацию, что номер начинается с шестой цифры (первые 5 относятся к региону и еще чему-то). Как правильно записывать номер аттестата на госуслугах?",госуслуги
а где посмотреть эти списки?,конкурсные списки
"ребят, а когда обучение начинается приблизительно?",обучение
"Здравствуйте. Подал документы через госуслуги. Потом их отозвал, чтобы исправить номер аттестата. Теперь мои новые заявления не рассматриваются, а в статусе только отклонённые. Подскажите, как исправить?",госуслуги
"С другими вузами также, даже где 2 специальности. После отмены просто не отправляются на рассмотрение",госуслуги
"Здравствуйте! На сайте есть раздел целевая квота, и общая квота на спец.01.03.02 19 мест. Далее в распределении по министерствам только 2 места на роскосмос. Вопрос- а где остальные 17 мест, и на другие министерства? Спасибо",порядок приема
"Т.е к 19ти Роскосмос просто прибавит еще 2? Или это максимум? Мы хотим например подать целевое от Минпромторга, и у него пусто в графе, это значит, что мы попадаем в общий список целевиков, откуда будут зачислены 19 человек, как я поняла",порядок приема
Нужно подавать заявление на платное обучение или в этот конкурс можно автоматически попасть после не зачисления на бюджет? Если подавать заявление то где? Заранее спасибо!,порядок приема
Добрый день. Напишите пожалуйста если кто знает сколько заявлений о приеме на обучение было подано в 2021 году по каждой конкурсной группе 8-го института по итогу на день окончания приема заявлений.,порядок приема
"0/ Что лучше: пм или прог инж, хотелось бы услышать мнение",описание направлений
"А я правильно понимаю, что на ПМИ Python не изучается?",описание направлений
Что такое фиит?..,описание направлений
А на общежитие будет конкурс как в прошлом году? 25% мест на направление?,общежитие
"Будет ли опубликовано точное количество мест в общежитиях по конкурсным группам, не в процентах а в штуках? Если будет то когда это происходило в прошлом(примерная дата)?",общежитие
"то есть даже когда будет прием оригинала аттестатов 29 июля - 3 августа, в эти сроки тоже оригинал вести не надо? все только в электронном формате?",порядок приема
"вплоть до 25 июля, почему до 3 августа?",даты приема
"Торопиться не надо, на Госуслугах тоже непоняток хватает и вообще не совсем понятно как это будет работать. У меня заявление на госуслугах два дня проболталось в статусе ""Отправлено в вуз"".(не МАИ). Когда я обратился в вуз мне порекомендовали использовать их сайт.",госуслуги
А когда будут рейтинговые списки?,конкурсные списки
Сколько мест в общежитии на этот год?,общежитие
"Добрый  день, скажите, пож-та, при подаче документов в группе Компьютерные науки и прикладная математика запрашиваются три профиля, с выбранным одним профилем данные не сохраняются. Нужно выбрать еще два профиля? Если да, то зачем выбирать именно три профиля?",технические проблемы
"Здравствуйте, 270 на общежитие, это значит,что  ребята,у которых меньше 270 уже точно не получат общежитие?",общежитие
"Очень хочется попасть именно в восьмой институт, к вам) Но боюсь, что не пройду с общежитием и придется идти в 3 институт",общежитие
А за волонтёрство 100+ часов сколько дают?,индивидуальные достижения
"Где узнать пин, чтобы увидеть ранжированные списки?",конкурсные списки
"Здравствуйте, подскажите, пожалуйста, сколько мест из 250 выделено на направление 01.03.02, а сколько на направление 01.03.04? И можно ли после поступления будет выбрать конкретный профиль обучения при количестве баллов 275?",описание направлений
Вопрос по поводу оригинала аттестата. Я могу принести его в любое время работы приемной комиссии без предварительной записи? Сколько по времени занимает прием документа?,порядок приема
а если я уже подал заявление на поступление то могу ли я редактировать заявление и добавить туда еще одно направление для участи в конкурсе?,технические проблемы
Что такое нулевая волна? Если не сложно,порядок приема
"Так это противоречит 11.07..там же написано, что по егэ  до 25 числа, а до 11.07 по внутренним экзаменам.целевое не является внутренними экзаменами",порядок приема
"Ну подождите..нам это важно, нигде ни в каких видео не было, что нужно подать целевое до 11.07, поэтому все считают, что это можно прикрепить и позже, но до окончания приема заявлений..у вас половина народу сейчас нарвется на это",даты приема
"Здравствуйте, а есть ли общежития для платников?",общежитие
"то есть даже когда будет прием оригинала аттестатов 29 июля - 3 августа, в эти сроки тоже оригинал вести не надо? все только в электронном формате?",порядок приема
А согласие выбирается отдельно на направление? Сколько максимум подать согласий?,порядок приема
Сколько по времени отзывается согласие?,технические проблемы
"то есть согласие можно уже после дедлайна перекладывать, когда списки известны будут?",порядок приема
"Кстати да, если я захочу забрать аттестат и согласие и, напр, переложить в др вуз, сколько это примерно по времени займет?",порядок приема
"я сейчас звонил на горячую линию, мне ответили, что согласие можно переложить один раз до 3 августа",даты приема
"Вообще везде было сказано, что согласие можно переложить до 5ти раз, а не один",порядок приема
"Добрый день, скажите, пож-та, заявление принято, где и когда можно посмотреть свои баллы с учетом ИД, сами посчитали, но вдруг ошиблись?",индивидуальные достижения
"Здравствуйте! Подскажите, пожалуйста, я подавал заявление на особую квоту, мне сказали, что у вас не отобразилось это попросили прислать скан документов на почту, хотел бы узнать, прошла ли моя льгота на поступление по особой квоте?",квота
"То что согласие на зачисление подано на другое направление это хоть будет, а то не понятно как оценивать эти списки и свои шансы.",порядок приема
Если согласие подано  в МАИ на какое-то направление и не отображается в списках других направлений куда подавал заявление то это по минимуму странно.,технические проблемы
"Название мероприятия заинтерисовало:""Встреча директора института 8 с победителями олимпиад:поступаем БВИ в Computer Science"", сын поступает по БВИ на бакалавриат, может мы что-то важное пропустили, живем не Москве,  будет запись или какой-нибудь краткий очерк о мероприятии?",индивидуальные достижения
"Дайте, пож-та, ссылку на канал",контакты
"А что делать если я не целевик и хочу на пми, а на пм никак",распределение по кафедрам
"Чем выше баллы, тем больше шансов попасть на ПМИ?",распределение по кафедрам
А есть какая-нибудь информация по фииту?,описание направлений
Когда они план выложат и прочее,описание направлений
"Вопросик  Я подаю через ГосУслуги и меня настораживает, что уже третий день висит «Ожидается рассмотрение вузом» Так и должно быть? Я не пролечу, надеюсь?",госуслуги
Рейтинговые списки во сколько появятся?,конкурсные списки
"Какая последняя дата , чтобы  привезти оригинал?",даты приема
"В случае, если приказ о награждении знаками отличия ГТО за 2 квартал выйдет до 25 июля, можно ли в качестве подтверждения ИД приложить выписку из приказа министерства спорта? По опыту прошлого года могу сказать, что далеко не всем успевало приехать удостоверение до окончания срока подачи документов",индивидуальные достижения
"Почему в списке заявлений нет направления: ""Системы управления летательными аппаратами""?",технические проблемы
"Почему в заявлении профили обучения отображаются как им хочется, сами перемещаются по позициям, появляются незаявленные мной, у меня на сп 24.05.01 появились двухсредные да, в группах 01.03.00 и 09.03.01 перетасовались по позициям.Как такое получается?",технические проблемы
При просмотре заявления в ЛК отображается то что я написал.,технические проблемы
"Продолжение на 01.03.00 первым была информатика, на 09.03.01 первым было программное обеспечение, на 24.05.01 первым было моделирование, не было двухсредных Ла, скриншота у меня нет, как выше писал Я поправил, и заявление сейчас на проверке.",технические проблемы
Когда будут ранжированные списки?,конкурсные списки
"А можно ли подавать одновременно через ЕПГУ и через сайт ВУЗа? Где-то об этом слышал, но пока не довелось проверить…",порядок приема
Почему вузу не нравится когда с госов подают,госуслуги
"А, и еще вопрос, сколько нужно ждать после отзыва заявления с ГосУслуг, чтобы переподать через сайт?",технические проблемы
"Интересно почему через госуслуги долго обрабатывают заявки, если человек подаст 25 числа обработют ли, или пусть пойдет куда подальше .",госуслуги
"Подскажите, пожалуйста,  если уже подано в 5 вузов, можно от одного отказаться и подать в другой?",порядок приема
"а до 25 я могу копии только подавать, а оригинал себе оставить? а то мне в каком-то из вузов сказали, что до 25 надо куда-то отдать свой оригинал..",даты приема
